rpt_owner_cik,rpt_owner_name,is_director,is_officer,is_ten_percent_owner
1243928,LARSON GARY L,False,False,False
1236711,BARTON JAMES M,False,False,False
1191933,SCHUMACHER DIANE K,False,False,False
1225922,ALBER LAURA,False,False,False
1265654,ANBINDER STEPHEN E,False,False,False
1243129,MEYERS DAVID L,False,False,False
1243122,FRENCH RICHARD L,False,False,False
1355220,Hopper Paul,False,False,False
1057485,NORTON PHILLIP G,False,False,False
1213229,MACDONALD BRAZDLEY T,False,False,False
1197235,BENNETT JOSEPH M,False,False,False
1243930,BUCK CARL N,False,False,False
1236077,BRUGGEMAN DOUGLAS,False,False,False
1224582,SCHULTZ T THEODORE,False,False,False
1240101,LINDSAY DAVID J,False,False,False
1220097,VAN OSTENBRIDGE PAUL,False,False,False
1220104,MADDEN TIMOTHY G,False,False,False
1220121,HOLLAND JULIE E,False,False,False
1166090,BROWN ARTHUR,False,False,False
1341910,Yeaton Howard,False,False,False
1342216,Westra Michael A,False,False,False
1220114,VAN WINGERDEN ABRAHAM,False,False,False
1117037,JAGID JEFFREY M,False,False,False
1246073,ERICKSON STEPHEN C,False,False,False
1184480,RUSS JAMES G,False,False,False
1225593,HOSTER DAVID H II,False,False,False
1185416,ROTH TERRY CHRISTOPHER,False,False,False
1185422,LAFITTE MICHAEL J,False,False,False
1253642,DEVANEY PAT,False,False,False
902607,KHOURY AMIN J,False,False,False
1249683,GOUGH THOMAS L,False,False,False
1354643,"Janet H. & C. Harry Knowles Foundation, Inc.",False,False,False
1014182,PRINCE LARRY L,False,False,False
942692,FABRIKANT CHARLES,False,False,False
1341148,Kelso Bruce S,False,False,False
939465,KNOWLES C HARRY,False,False,False
1220140,PIRTLE WILLIAM L,False,False,False
1231580,FARNHAM SHELLEY A,False,False,False
1259919,POLLOCK JOHN V,False,False,False
1255951,POAD MARTIN L,False,False,False
1305178,Church Jill Marie,False,False,False
1007425,PETERSEN ALLEN D,False,False,False
1197246,LABORDE CLIFFE F,False,False,False
1219596,DILLON THOMAS R,False,False,False
1221369,GREY ROBERT J,False,False,False
1219055,MCCARTHY W BARRY JR,False,False,False
1033331,HASTINGS REED,False,False,False
1239172,AMBRO & CO,False,False,False
1182711,MCCARTHY IAN J,False,False,False
1182709,FURLOW MICHAEL H,False,False,False
1320771,Gary Kenneth J,False,False,False
1182714,OLEARY JAMES,False,False,False
1250468,MAGRUDER LOGAN,False,False,False
1232621,TANG CAPITAL MANAGEMENT LLC,False,False,False
1191935,TANG CAPITAL PARTNERS LP,False,False,False
1178579,TANG KEVIN C,False,False,False
1182386,SKRZYPCZAK CASIMIR S,False,False,False
1144189,LASATER DAN R,False,False,False
1286199,BELANOFF JOSEPH K,False,False,False
1183214,CHIKAMOTO ALWYN,False,False,False
1190167,CHINN NEIL R,False,False,False
1249405,MIWA HISAO SAL,False,False,False
1286208,ROE ROBERT L,False,False,False
1232447,WOLOHAN JAMES L,False,False,False
1216631,WEINBERG W HENRY,False,False,False
1232513,LAZAROFF STEPHEN J,False,False,False
1283195,CHAPMAN ROBERT H III,False,False,False
1295281,Nowak Paul J,False,False,False
1232518,DOLINSKI RICHARD J,False,False,False
1209832,PRABHU VASANT M,False,False,False
1216628,HILLEMAN JERYL L,False,False,False
1218326,RICCI PAUL,False,False,False
1216627,GOLDWASSER ISY,False,False,False
1232529,ABBOTT EDWARD P,False,False,False
1245503,MARTINELLA JACQUES,False,False,False
1216626,GOLDBY STEVEN D,False,False,False
1353140,Gellein Raymond L JR,False,False,False
1323300,Benito Javier,False,False,False
1229641,SAGE RICHARD D,False,False,False
1320444,Abdallah Kamal,False,False,False
1197244,DICK STEPHEN W,False,False,False
1134872,HOWLETT TERRY,False,False,False
1347082,Donino Thomas,False,False,False
1347089,BATL Management LP,False,False,False
1308633,Knock Craig A,False,False,False
1129892,TOAN BARRETT A,False,False,False
1220122,MEDVIN HARVEY N,False,False,False
1310861,CHATPAR PREM C,False,False,False
1158643,FINLEY G STEPHEN,False,False,False
1304010,"Dutchess Advisors, LLC",False,False,False
1232042,SPATZ D DEAN,False,False,False
1352181,McCauley Christopher James,False,False,False
1113412,POWERS LYNN,False,False,False
1281041,CULPEPPER PETER R,False,False,False
1251855,MATHEWS JANET,False,False,False
1292578,Mills Charles A,False,False,False
1305432,Sear Timothy R G,False,False,False
1210383,CROWE MARSHALL A,False,False,False
1095399,FITES DONALD V,False,False,False
1190977,WELLS DARREN R,False,False,False
1123548,MOOMJIAN CARY A JR,False,False,False
1197247,LOUSTEAU J KEITH,False,False,False
1201069,TOPPEN TIMOTHY R,False,False,False
1191240,LEBLANC RICHARD A,False,False,False
1183691,REINHARD J PEDRO,False,False,False
1235738,BARKLEY JAMES M,False,False,False
1323803,Green Leonard C,False,False,False
1256937,SINCLAIR CHARLES L,False,False,False
1273211,DAVITT MICHAEL,False,False,False
1193316,RICH JONATHAN D,False,False,False
1190595,ONEIL WILLIAM C,False,False,False
1190968,MILLER GARY A,False,False,False
1249716,RIBAUDO J MICHAEL,False,False,False
1255602,GASS ANDREW,False,False,False
1278088,KREIDER LAWRENCE E,False,False,False
1344205,Nash Avi M,False,False,False
1075947,SWENT JAMES W III,False,False,False
1254530,BARBARO RONALD D,False,False,False
1201067,KRAMER RICHARD J,False,False,False
